Country of Origin,Variety,Processing Method,Aroma,Flavor,Acidity
Ethiopia,,Washed / Wet,8.67,8.83,8.75
Ethiopia,Other,Washed / Wet,8.75,8.67,8.58
Guatemala,Bourbon,,8.42,8.5,8.42
Ethiopia,,Natural / Dry,8.17,8.58,8.42
Ethiopia,Other,Washed / Wet,8.25,8.5,8.5
Brazil,,Natural / Dry,8.58,8.42,8.5
Peru,Other,Washed / Wet,8.42,8.5,8.5
Ethiopia,,,8.25,8.33,8.42
Ethiopia,,,8.67,8.67,8.42
Ethiopia,Other,Natural / Dry,8.08,8.58,8.5
Ethiopia,,Natural / Dry,8.17,8.67,8.5
United States,Other,Washed / Wet,8.25,8.42,8.33
United States,Other,Washed / Wet,8.08,8.67,8.42
United States (Hawaii),,,8.33,8.42,8.25
Ethiopia,,,8.25,8.33,8.25
United States,Other,Washed / Wet,8,8.5,8.17
Indonesia,,,8.33,8.25,7.75
Ethiopia,,,8.17,8.33,8.33
China,Catimor,Washed / Wet,8.42,8.25,8.17
Ethiopia,Ethiopian Yirgacheffe,Natural / Dry,8.17,8.17,8.17
United States,Other,Washed / Wet,8,8.25,8.5
Costa Rica,Caturra,Washed / Wet,8.08,8.25,8.17
Mexico,Other,Washed / Wet,8.17,8.25,8
United States,Other,Washed / Wet,8.25,8.33,8.17
Ethiopia,,Natural / Dry,8.42,8.17,8.17
Brazil,Bourbon,Natural / Dry,8.5,8.5,8
Ethiopia,,,7.83,8.25,8.17
Uganda,SL14,Washed / Wet,8.42,8.17,8.17
Honduras,Caturra,,8.17,8.08,8
Taiwan,Sumatra,Pulped natural / honey,8,8,8.25
Nicaragua,,,7.92,8.25,8.33
"Tanzania, United Republic Of",,Natural / Dry,8.42,8.17,8
Brazil,Bourbon,Natural / Dry,8.5,8.17,7.75
Costa Rica,Caturra,Washed / Wet,8.17,7.83,8.08
Ethiopia,,Natural / Dry,8,8.08,8
Kenya,SL34,Washed / Wet,8.08,8,8.25
United States (Hawaii),Hawaiian Kona,Natural / Dry,8.08,8.17,7.92
United States (Hawaii),,,8.25,8.42,7.75
Ethiopia,,,7.92,7.75,8.08
United States,Other,Washed / Wet,7.67,8.17,8
Thailand,Caturra,Washed / Wet,7.83,8.33,8.25
Brazil,Yellow Bourbon,,8.17,7.92,7.75
Brazil,Yellow Bourbon,,8.42,7.92,7.75
Taiwan,Bourbon,Semi-washed / Semi-pulped,8.08,8.17,8.08
Kenya,SL28,Natural / Dry,8.08,8.08,8
Brazil,Bourbon,Semi-washed / Semi-pulped,8.33,8,8
Uganda,,Semi-washed / Semi-pulped,8.08,8.08,7.92
Colombia,Caturra,Washed / Wet,7.75,7.92,8.08
Kenya,SL28,Washed / Wet,7.92,8.17,8.5
Uganda,Other,Washed / Wet,8.25,8,8.08
Ethiopia,,,7.75,8.08,8.25
United States (Hawaii),,,8.33,8.17,8
Guatemala,Bourbon,Washed / Wet,7.92,8.08,8.08
Uganda,SL14,Natural / Dry,8.17,8.17,8.08
Colombia,Caturra,Washed / Wet,8,8,8.17
Panama,Gesha,Washed / Wet,8,8,8.08
Ethiopia,,Washed / Wet,7.83,8.08,8.08
Guatemala,Bourbon,Washed / Wet,7.83,8,8.17
Guatemala,Catuai,Washed / Wet,8,8,8.33
Ethiopia,Caturra,Natural / Dry,7.83,8,8.17
Peru,,Washed / Wet,8,8,8.08
Papua New Guinea,,Washed / Wet,8.33,8.42,8.33
El Salvador,Bourbon,Washed / Wet,7.92,8.17,7.92
El Salvador,Bourbon,Semi-washed / Semi-pulped,7.83,8,7.75
United States (Hawaii),Hawaiian Kona,Natural / Dry,7.83,8,7.75
Panama,Caturra,Natural / Dry,8,7.75,7.83
Kenya,SL28,Natural / Dry,7.92,7.92,8.08
Ethiopia,Other,Natural / Dry,7.83,8,7.92
Uganda,SL14,Washed / Wet,8.33,7.92,7.92
Guatemala,Bourbon,Washed / Wet,8,7.83,8.33
Ethiopia,,Washed / Wet,7.75,7.83,8.17
Uganda,SL14,Washed / Wet,8.08,8,7.67
United States (Hawaii),Hawaiian Kona,Natural / Dry,7.92,7.92,7.92
Brazil,Bourbon,Semi-washed / Semi-pulped,8,8,7.67
El Salvador,,,8.08,7.83,8.08
China,Catimor,Natural / Dry,8,8,7.83
Guatemala,Pacamara,Natural / Dry,7.83,7.75,7.67
Costa Rica,Caturra,Washed / Wet,7.92,8.08,7.92
Costa Rica,Caturra,Washed / Wet,8,7.58,7.67
Kenya,SL34,Washed / Wet,7.83,8.08,8.08
Kenya,SL34,Washed / Wet,8,7.92,8.08
Ethiopia,,,7.83,7.83,8.08
Ethiopia,Typica,,7.92,7.83,8.33
Guatemala,Bourbon,,8,7.92,8
Colombia,Caturra,Washed / Wet,8.17,7.92,8
Colombia,Caturra,Natural / Dry,7.58,8.08,7.83
Indonesia,Sumatra Lintong,Semi-washed / Semi-pulped,7.75,7.83,8
Guatemala,Caturra,Washed / Wet,8.25,8,7.92
Ethiopia,Other,Natural / Dry,7.75,8,8
Colombia,Caturra,Natural / Dry,8.17,7.83,8.08
Ethiopia,,Natural / Dry,8.42,8,8
United States (Hawaii),Hawaiian Kona,Natural / Dry,7.58,7.83,7.92
Colombia,Caturra,Natural / Dry,7.83,8,7.75
United States (Hawaii),,,8.08,8.17,8
Ethiopia,,,7.67,8,8
United States (Hawaii),,,7.5,7.92,7.83
Uganda,SL14,Washed / Wet,8.17,7.92,7.75
Colombia,Caturra,Washed / Wet,8,7.92,7.92
Costa Rica,Catuai,Washed / Wet,7.83,8,7.92
Mexico,Typica,Washed / Wet,7.83,8,7.75
Kenya,,Washed / Wet,8.17,7.83,7.75
Kenya,SL34,Washed / Wet,7.75,7.83,8.08
Brazil,Mundo Novo,Natural / Dry,8,8,7.83
Mexico,Pacamara,,7.92,8.17,8.08
United States (Hawaii),,,7.75,7.92,7.75
Guatemala,,,7.83,8.08,8
Colombia,Caturra,Washed / Wet,7.92,7.92,7.83
Colombia,Caturra,Washed / Wet,7.92,7.83,7.83
Taiwan,Typica,Semi-washed / Semi-pulped,7.67,7.83,7.58
"Tanzania, United Republic Of",Other,Washed / Wet,8,7.83,7.92
Colombia,Caturra,Washed / Wet,7.75,7.92,7.75
Mexico,Typica,Semi-washed / Semi-pulped,7.75,8,7.83
Brazil,Bourbon,Natural / Dry,8,7.92,7.75
Brazil,Catuai,Natural / Dry,8,8,8
Kenya,,,8,7.67,8.17
Taiwan,Typica,Natural / Dry,7.92,7.58,7.83
Uganda,SL14,Natural / Dry,7.75,7.92,7.67
United States (Hawaii),Hawaiian Kona,Natural / Dry,7.67,7.75,7.75
Ethiopia,,,7.75,7.92,7.92
Ethiopia,,,7.42,7.92,8
Thailand,Caturra,Pulped natural / honey,7.75,7.75,7.75
Kenya,SL34,Washed / Wet,7.92,7.83,7.92
Honduras,Catuai,Washed / Wet,7.83,7.75,7.67
El Salvador,,,7.75,8,8.33
Nicaragua,,,7.83,7.58,7.83
El Salvador,Bourbon,Washed / Wet,7.83,7.83,8
Indonesia,Java,Washed / Wet,7.92,7.83,7.75
Japan,Mundo Novo,Pulped natural / honey,7.75,7.75,7.42
Costa Rica,Catuai,Washed / Wet,8.08,7.75,7.83
Guatemala,Bourbon,Washed / Wet,7.75,7.83,8
Costa Rica,Caturra,Washed / Wet,8.17,8,7.17
Ethiopia,Ethiopian Yirgacheffe,Washed / Wet,8.08,7.83,7.83
Costa Rica,Other,Other,7.67,7.58,7.75
Costa Rica,Catuai,Washed / Wet,8,7.58,7.75
Costa Rica,,Washed / Wet,8.08,7.83,7.83
Taiwan,Typica,Washed / Wet,8,7.92,7.75
Colombia,Caturra,Washed / Wet,7.75,7.83,7.83
Kenya,SL28,Washed / Wet,7.75,7.92,8
Guatemala,Bourbon,Washed / Wet,8,7.83,7.83
Guatemala,Bourbon,Washed / Wet,7.67,7.83,8
Mexico,Typica,Washed / Wet,7.83,7.58,7.92
Uganda,Other,Washed / Wet,7.92,7.83,7.92
Peru,,,7.67,7.83,7.75
Ethiopia,,,7.42,7.75,8
Kenya,SL34,Washed / Wet,7.92,7.75,7.75
Colombia,Other,Washed / Wet,7.83,7.67,7.92
Colombia,Caturra,Washed / Wet,7.92,7.83,8
Kenya,Peaberry,Washed / Wet,7.83,7.83,7.75
Guatemala,Pacas,Washed / Wet,7.75,7.83,7.92
Guatemala,Bourbon,Washed / Wet,8,7.92,7.58
Colombia,Caturra,Washed / Wet,7.67,7.67,7.75
Colombia,Caturra,Washed / Wet,7.75,7.75,7.75
Kenya,SL28,Washed / Wet,7.75,7.75,8.08
Colombia,Caturra,Washed / Wet,7.67,7.83,8
Costa Rica,Bourbon,Semi-washed / Semi-pulped,7.75,7.83,8
Colombia,Caturra,Washed / Wet,7.42,7.67,7.75
Brazil,Bourbon,Semi-washed / Semi-pulped,8,8,7.75
Brazil,Catuai,Semi-washed / Semi-pulped,8.5,8,7.75
Costa Rica,Caturra,Washed / Wet,7.92,7.67,7.75
Uganda,SL14,Washed / Wet,7.92,7.75,7.75
China,Catimor,Washed / Wet,7.75,7.92,7.83
